epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3123,1.45171,2.00165,1.65817,0.32531,0.33626,0.30638,0.17875,1.76235,3.87404,2.05414,0.000553631,0.000553631,0.000553631
2,149.579,1.57162,2.08294,1.77382,0.26445,0.28978,0.21062,0.08171,1.87011,3.53735,2.175,0.00110381,0.00110381,0.00110381
3,223.953,1.55591,2.10227,1.77968,0.37518,0.37221,0.27943,0.1367,1.80379,2.60663,2.03205,0.00164848,0.00164848,0.00164848
4,298.626,1.5073,2.05262,1.75084,0.43329,0.36602,0.30509,0.18233,1.70911,3.35581,1.94944,0.00164225,0.00164225,0.00164225
5,373.514,1.419,1.92861,1.6783,0.53896,0.43727,0.39323,0.25015,1.46791,2.29761,1.74562,0.00163399,0.00163399,0.00163399
6,449.04,1.35429,1.87605,1.62267,0.56534,0.42586,0.40439,0.26717,1.44652,2.13109,1.69475,0.00162574,0.00162574,0.00162574
7,524.416,1.34788,1.88096,1.61157,0.54462,0.43278,0.41649,0.30085,1.37446,2.15776,1.59558,0.00161749,0.00161749,0.00161749
8,599.504,1.30587,1.79045,1.58709,0.58387,0.47316,0.42368,0.29548,1.35839,1.96673,1.60463,0.00160924,0.00160924,0.00160924
9,674.682,1.28498,1.794,1.5804,0.5908,0.43796,0.4281,0.32031,1.30744,1.93282,1.54613,0.00160099,0.00160099,0.00160099
10,749.402,1.25357,1.72534,1.55433,0.63829,0.42667,0.45894,0.32685,1.33931,1.8792,1.59495,0.00159274,0.00159274,0.00159274
11,824.057,1.25795,1.73387,1.54616,0.59238,0.42008,0.42778,0.30347,1.38061,1.93703,1.61753,0.00158448,0.00158448,0.00158448
12,898.919,1.22375,1.69992,1.52458,0.64883,0.45395,0.46333,0.34338,1.25095,1.83313,1.49802,0.00157623,0.00157623,0.00157623
13,974.102,1.21884,1.64672,1.51404,0.57093,0.45322,0.46307,0.34656,1.23808,1.84268,1.49853,0.00156798,0.00156798,0.00156798
14,1048.79,1.19752,1.62624,1.51155,0.55861,0.46356,0.45922,0.33098,1.26436,1.90923,1.51879,0.00155973,0.00155973,0.00155973
15,1123.32,1.19891,1.60983,1.50177,0.67649,0.46461,0.48293,0.35402,1.23469,1.8129,1.46255,0.00155148,0.00155148,0.00155148
16,1198.05,1.1513,1.57299,1.46683,0.66096,0.49372,0.48626,0.37306,1.15177,1.70103,1.4463,0.00154323,0.00154323,0.00154323
17,1272.35,1.16353,1.60205,1.48177,0.66271,0.47544,0.50563,0.37282,1.17698,1.65118,1.44728,0.00153497,0.00153497,0.00153497
18,1346.62,1.13278,1.54327,1.46389,0.64064,0.46144,0.47359,0.355,1.21351,1.69599,1.46486,0.00152672,0.00152672,0.00152672
19,1420.89,1.14246,1.56129,1.46036,0.64781,0.46359,0.48647,0.37854,1.12329,1.71484,1.42084,0.00151847,0.00151847,0.00151847
20,1495.12,1.11051,1.48867,1.43258,0.68044,0.49255,0.49694,0.37399,1.16344,1.64507,1.42925,0.00151022,0.00151022,0.00151022
21,1569.28,1.10519,1.49659,1.44062,0.71145,0.46102,0.48533,0.35937,1.15992,1.73431,1.44398,0.00150197,0.00150197,0.00150197
22,1643.57,1.11661,1.50723,1.44266,0.64266,0.49948,0.51086,0.38498,1.13271,1.61886,1.4078,0.00149372,0.00149372,0.00149372
