epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.106,1.57594,4.11891,2.19201,1.76206,0.08226,0.4027,0.05449,0.02361,0.06641,0.2589,0.03117,0.01071,1.91396,5.77576,21.9771,2.02277,0.000554649,0.000554649,0.000554649
2,216.073,1.6762,4.13924,2.21973,1.84838,0.31742,0.38653,0.33088,0.18658,0.31231,0.32046,0.27778,0.13874,1.79765,4.44842,2.65441,2.03268,0.00110482,0.00110482,0.00110482
3,322.982,1.60989,4.08797,2.16182,1.81079,0.80809,0.22826,0.32594,0.18072,0.81909,0.23641,0.29252,0.16621,1.69928,4.5825,2.57733,1.90662,0.00164949,0.00164949,0.00164949
4,430.226,1.53743,4.10722,2.13868,1.77482,0.37346,0.33167,0.28622,0.15716,0.33467,0.28737,0.22674,0.12389,1.73641,4.50136,2.4016,1.91605,0.00164225,0.00164225,0.00164225
5,537.298,1.47113,4.04153,2.06425,1.71318,0.14141,0.32964,0.09731,0.04324,0.11619,0.29366,0.06875,0.02499,1.79125,9.74718,3.12515,2.19793,0.00163399,0.00163399,0.00163399
6,644.402,1.43009,3.97651,1.99808,1.67745,0.47018,0.39506,0.37918,0.24979,0.43221,0.35916,0.32496,0.2175,1.51433,4.05987,2.18034,1.72357,0.00162574,0.00162574,0.00162574
7,751.669,1.3976,3.94317,1.96724,1.66995,0.46383,0.37461,0.37043,0.25569,0.47823,0.32669,0.33158,0.22097,1.49611,4.0031,2.1825,1.74025,0.00161749,0.00161749,0.00161749
8,859.079,1.36423,3.9016,1.91731,1.63656,0.50497,0.44373,0.42834,0.30644,0.47818,0.37601,0.36092,0.2246,1.43339,3.99923,1.97074,1.67699,0.00160924,0.00160924,0.00160924
9,966.381,1.32467,3.88758,1.86854,1.60778,0.50459,0.4664,0.42149,0.29976,0.5095,0.4105,0.37992,0.24781,1.3798,3.99664,1.93032,1.60985,0.00160099,0.00160099,0.00160099
10,1073.81,1.31841,3.87676,1.86226,1.60172,0.56728,0.46776,0.45237,0.34297,0.53821,0.42103,0.39871,0.28523,1.25083,3.93335,1.88486,1.5205,0.00159274,0.00159274,0.00159274
11,1181.4,1.2932,3.84767,1.79188,1.58746,0.63687,0.46606,0.45991,0.33704,0.61143,0.41762,0.39941,0.27763,1.30334,4.02225,1.80818,1.59617,0.00158448,0.00158448,0.00158448
12,1288.39,1.27571,3.82659,1.79722,1.57396,0.67507,0.4378,0.45266,0.32707,0.62038,0.39806,0.39468,0.27956,1.27972,3.9647,1.84837,1.55402,0.00157623,0.00157623,0.00157623
13,1395.41,1.25642,3.80136,1.75703,1.55742,0.68018,0.44425,0.45998,0.34812,0.63854,0.41235,0.40207,0.28759,1.2224,3.94305,1.83471,1.50877,0.00156798,0.00156798,0.00156798
14,1502.65,1.25112,3.78979,1.7342,1.54762,0.6478,0.43525,0.47022,0.33628,0.5733,0.40093,0.38236,0.26519,1.27011,3.88329,1.77629,1.5229,0.00155973,0.00155973,0.00155973
15,1609.76,1.24726,3.78181,1.74853,1.53886,0.65377,0.46754,0.48376,0.35428,0.61566,0.43209,0.42348,0.29657,1.19318,3.8671,1.71838,1.49226,0.00155148,0.00155148,0.00155148
16,1717.18,1.21555,3.74321,1.67709,1.51517,0.68365,0.45468,0.48874,0.37478,0.63468,0.41376,0.42167,0.31375,1.15963,3.75925,1.70919,1.45541,0.00154323,0.00154323,0.00154323
17,1824.22,1.20546,3.72108,1.666,1.52858,0.66939,0.4592,0.48879,0.36406,0.63733,0.41155,0.41207,0.28972,1.22273,3.83427,1.74725,1.48695,0.00153497,0.00153497,0.00153497
